昵称,id,学历,学校,学院,专业,经验,简介
呆云儿,5b6fa16dfa4ae540215054c7,学生,浙江工业大学,经贸管理学院,Humanities,但行好事，莫问前程,
Xin Pan,5b6ad121fa4ae54021505429,assistant professor,西南财经大学,工商管理学院,Business Administation / Management Science,Assitant professor at SWUFE,
包福气,5b682636fa4ae5402150540b,博士生,陕师大,心里学院,Psychology,,
echo,5b67b95889efe612416863e0,博士生,华南理工大学,管理学院,Business Administation / Management Science,,
arzu,5b67223989efe612416863df,博士生,交大,管院,Business Administation / Management Science,交大博士生,
刘娜,5b65574e89efe6124168638e,博士生,天津大学,管理与经济学部,Computer and Information Science,天津大学博,
史攀,5b66dd41fa4ae54021505404,博士,南开大学,金融学院,Economics / Finance,,
hittt,5b666b1efa4ae540215053f9,学生,HNUC,财政金融学院,Economics / Finance,,
多么哇塞的姑娘啊~,5b6690f3fa4ae540215053fa,研究生,湖大,商学,Business Administation / Management Science,,
LLL,5b63fc0bfa4ae540215053ce,博士,湖南大学,工商管理学院,Economics / Finance,Financial Economics,
Penny Lian,5b62e566fa4ae540215053a5,学生,上海师范大学,教育学院,Psychology,一步一步往上爬,
dangkexinhit,5b631f6489efe61241686370,Doctor,Harbin Institute of Technology,School of Materials Science and Engineering,Engineering,科研狗一只,
王兴,5b61b413fa4ae5402150539b,博士生,哈尔滨工业大学,航天学院,Electrical and Electronic Engineering,物理电子学博士,
Ting,5b625273fa4ae5402150539d,教师,上海理工大学,管理学院,Business Administation / Management Science,,
孙威,5b617be889efe61241686358,博士生,西南大学,计算机,Computer and Information Science,西安大学博士,
黄梅,5b61719489efe61241686357,博士,西华大学,管理学院,Business Administation / Management Science,心为学而静,
WindyH,5b56f48789efe612416861d6,博士,东北财经大学,工商管理学院,Social Sciences,。。。,
清泽,5b56d37389efe612416861d1,博士生,西北工业大学,管理学院,Business Administation / Management Science,no sweat no sweet,硕士期间研究方向技术创新与组织学习，发表论文于《科研管理》，参与国家社科基金及纵向课题研究；博士一年级即将结束，主要研究方向知识管理，技术创新，项目管理，风险管理等，期间参与国家自然基金及省课题研究，参与多次顶级国际会议，并做口头报告，投稿ssci期刊两篇论文，在审状态，目前处于开题阶段，结合寒假期间所写基金本子整理开题研究报告。
王聪,5b55752f870fe9f74089ee7b,讲师,大连海事大学,航运经济与管理学院,Business Administation / Management Science,大连海事大学,
叶聪,5b53f525870fe9f74089ee68,博士生,华南理工大学,经贸学院,Economics / Finance,金融学,
瓜皮王,5b50771e870fe9f74089ee0e,学生,西南财经大学,经济信息工程学院,Computer and Information Science,优秀哈,"本科信息管理与信息系统，熟悉sql,phython,sas,spss等数据挖掘分析软件，有财经基础知识"
Zoe_yzx,5b4feeec870fe9f74089ee0c,教师,华中科技大学,管理学院,Business Administation / Management Science,创业研究，仍在路上,
kina,5b4e8f83870fe9f74089edfa,学生,浙江师范大学,杭州幼儿师范学院,Psychology,,
Dora,5b4e11ba870fe9f74089edf9,学生,华中农业大学,经济管理学院,Business Administation / Management Science,我是一名在读研究生，在茫茫学海中迷失了方向。,
奇石,5b4d3e5989efe61241686118,博士生,东北财经大学,产业组织与企业组织研究中心,Economics,执着奋进，不忘初心，方得始终！,
张君复,5b4c711889efe61241686114,博士生,上海财经大学,商学院,Business Administation / Management Science,,
文铛铛,5b4aaffa89efe612416860fd,学生,西南大学,心理学,Psychology,带着光一路向前,"

"
camellia,5b49e35189efe612416860db,博士生,华东师范大学,心理与认知科学学院,Psychology,阳光，开朗，积极进取的爽朗少女,"1.硕士期间独立完成ERP实验3个，参与中国“彩巢计划”项目等相关fMRI实验数据收集；
2.硕士期间以一作和合作身份发表论文6篇，其中A1及SSCI一区共3篇，二区及A2共三篇；
"
付小高,5b481c3589efe612416860ae,学生,湖中大,湖中大人文与管理学院,Psychology,心理学学生，研究爱好者，学习学习，沉淀沉淀～,"儿童期虐待对成年个体人格分裂特质的预测

"
觀咊,5b45ee4e870fe9f74089ed14,学生,广东工业大学,机器人学院,,,
于莹,5b4469c089efe61241685f09,学生,中科院（准备方向）,人文,Psychology,心理学爱好者,
Jiang Wenbo,5b441ab1870fe9f74089ec0e,博士生,西北工业大学,管理学院,Business Administation / Management Science,可持续创新，绿色创新，绿色运营管理，道德性领导,
张君复,5b416ae389efe61241685edd,博士生,上海财经大学,商学院,Economics,企业管理PhD,
欢呐,5b406de5870fe9f74089eb8a,博士生,浙江大学,管理学院,Social Sciences,一枚爱运动爱阅读的旅游管理专业在读女博士,
Caroline ,5b3c7c0e870fe9f74089eb71,硕士研究生,西南大学,心理学部,Psychology,,
,5b3b8d28870fe9f74089eb0b,,,,,,
特日格勒,5b3b662b89efe61241685cb8,学生,对外经济贸易大学,国际商学院,Economics / Finance,一个学生,
纵横捭阖丶,5b3b0a5c89efe61241685cb3,学生,中南财经政法大学,工商管理学院,Economics,,
一只break,5b3b531889efe61241685cb6,学生,华中科技大学,经济学院,Economics / Finance,对世界拥有好奇心,
